,tweet_text,sentiment,tweet_text_tokens
10,"{link} 6 min Video: Masao Yoshida, of Fukushima Diichi Nuclear Station thanks all for aid and reports current progress.",2,"['min', 'Video', 'Masao', 'Yoshida', 'Fukushima', 'Diichi', 'Nuclear', 'Station', 'thanks', 'aid', 'reports', 'current', 'progress']"
11,{link} 74 percent favor gradual reduction of nuclear power plants: Mainichi poll - Mainichi Daily News,2,"['percent', 'favor', 'gradual', 'reduction', 'nuclear', 'power', 'plants', 'Mainichi', 'poll', 'Mainichi', 'Daily', 'News']"
12,{link} Coal seen as possible alternative to nuclear power: EGAT,2,"['Coal', 'seen', 'possible', 'alternative', 'nuclear', 'power', 'EGAT']"
13,{link} Experts are not sure of the economic side project of the Lithuanian nuclear power plant,2,"['Experts', 'sure', 'economic', 'side', 'project', 'Lithuanian', 'nuclear', 'power', 'plant']"
14,{link} Five Star•_¨ Enters Nuclear Power Supply Market,2,"['Five', 'Star•¨', 'Enters', 'Nuclear', 'Power', 'Supply', 'Market']"
15,{link} Five Star•_¨ Enters Nuclear Power Supply Market - PR Newswire (press release),2,"['Five', 'Star•¨', 'Enters', 'Nuclear', 'Power', 'Supply', 'Market', 'PR', 'Newswire', 'press', 'release']"
16,{link} health newspaper articles Complete rejection of peaceful nuclear energy will require a multi-million dollar inves...,2,"['health', 'newspaper', 'articles', 'Complete', 'rejection', 'peaceful', 'nuclear', 'energy', 'require', 'multimillion', 'dollar', 'inves']"
17,{link} India to accord highest safety standards for civil nuclear energy: PM - Economic Times,2,"['India', 'accord', 'highest', 'safety', 'standards', 'civil', 'nuclear', 'energy', 'PM', 'Economic', 'Times']"
18,{link} Nuclear Power 101 via Arnie Gundersen w #Resume @mention #SCCouncil #NIRS,2,"['Nuclear', 'Power', 'via', 'Arnie', 'Gundersen', 'w', 'Resume', 'SCCouncil', 'NIRS']"
19,{link} PM bats for nuclear energy - Times of India,2,"['PM', 'bats', 'nuclear', 'energy', 'Times', 'India']"
20,{link} Saudi Arabia's Nuclear Energy Ambitions - Energy Collective,2,"['Saudi', 'Arabias', 'Nuclear', 'Energy', 'Ambitions', 'Energy', 'Collective']"
21,"{link} The 1940 Olympics, decreased rice consumption results in improved health, nuclear power per... {link}",2,[]
22,{link} What's happening @mention Fukushima nuclear power plant?!,2,"['Whats', 'happening', 'Fukushima', 'nuclear', 'power', 'plant']"
23,{link} Would you rather have a few dozen wind turbines or a nuclear power plant near your home? . turbines power,0,"['Would', 'rather', 'dozen', 'wind', 'turbines', 'nuclear', 'power', 'plant', 'near', 'home', 'turbines', 'power']"
24,"{link} YNN/Marist Poll: How New Yorkers feel about nuclear power, hydrofracking",2,"['YNNMarist', 'Poll', 'New', 'Yorkers', 'feel', 'nuclear', 'power', 'hydrofracking']"
25,@mention Ever hears talk of a place in north MI around a nuclear power plant that is bow hunting only?,2,"['Ever', 'hears', 'talk', 'place', 'north', 'MI', 'around', 'nuclear', 'power', 'plant', 'bow', 'hunting']"
26,@mention No. It's in north west Missouri it's a WMA around a nuclear power plant. 6000 ac. My buddy was looking to go. Bow only.,2,"['north', 'west', 'Missouri', 'WMA', 'around', 'nuclear', 'power', 'plant', 'ac', 'buddy', 'looking', 'go', 'Bow']"
27,@mention LOL The best bumper sticker I ever saw was: &quot;NUCLEAR POWER IS SAFER THAN TED KENNEDY'S CAR.&quot; I guess that one dates me.,2,"['LOL', 'best', 'bumper', 'sticker', 'ever', 'saw', 'guess', 'one', 'dates']"
28,@mention - newamerica9.com is an investment website or are you talking about nuclear energy dangers?,2,"['newamericacom', 'investment', 'website', 'talking', 'nuclear', 'energy', 'dangers']"
29,"RT @mention : Science Saturday: Nuclear energy, melting ice caps, and human adaptation {link}",2,"['Science', 'Saturday', 'Nuclear', 'energy', 'melting', 'ice', 'caps', 'human', 'adaptation']"
30,RT @mention 'Hinkley Point C' - Britain's newest nuclear power station #nuclear,2,"['Hinkley', 'Point', 'C', 'Britains', 'newest', 'nuclear', 'power', 'station', 'nuclear']"
31,@mention @mention - She is a mess. I am thinking of moving back down that way after 2012. Here is another we did: {link},3,"['mess', 'thinking', 'moving', 'back', 'way', 'another']"
32,"RT @mention @mention @mention Corino, your a bigger threat of death than the Limerick Nuclear Power plant...you surviving abortion!",2,"['Corino', 'bigger', 'threat', 'death', 'Limerick', 'Nuclear', 'Power', 'plantyou', 'surviving', 'abortion']"
33,"@mention @mention Corino, your a bigger threat of death than the Limerick Nuclear Power plant...you surviving abortion!",2,"['Corino', 'bigger', 'threat', 'death', 'Limerick', 'Nuclear', 'Power', 'plantyou', 'surviving', 'abortion']"
34,"RT @mention @mention has &quot;open mind&quot; on nuclear energy, but is concerned about nuclear waste and need for water to run the plant. #cagov #nuclear",2,"['nuclear', 'energy', 'concerned', 'nuclear', 'waste', 'need', 'water', 'run', 'plant', 'cagov', 'nuclear']"
35,RT @mention @mention I want to stop the nuclear power plant all over the world now.So I shout it everyday;)So Thanks for your RT and heart.,0,"['want', 'stop', 'nuclear', 'power', 'plant', 'world', 'nowSo', 'shout', 'everydaySo', 'Thanks', 'heart']"
36,@mention @mention Nuclear Energy is good until something happens. Is it really worth the Risk of Radiation at Extreme Levels! NO!,0,"['Nuclear', 'Energy', 'good', 'something', 'happens', 'really', 'worth', 'Risk', 'Radiation', 'Extreme', 'Levels']"
37,"@mention @mention The only problem is that prosperity was built on nuclear energy and not renewables, so they are in trouble now",0,"['problem', 'prosperity', 'built', 'nuclear', 'energy', 'renewables', 'trouble']"
38,RT @mention @mention Top 10 things Indian citizens could do in case of a #nuclear power plant accident in the country {link},2,"['Top', 'things', 'Indian', 'citizens', 'could', 'case', 'nuclear', 'power', 'plant', 'accident', 'country']"
39,"RT @mention @mention we gotta pioneer new technologies to help us all endure the radiation, and shut down #nuclear energy plants for good! #Tesla",0,"['gotta', 'pioneer', 'new', 'technologies', 'help', 'us', 'endure', 'radiation', 'shut', 'nuclear', 'energy', 'plants', 'good', 'Tesla']"
40,RT @mention &#31119;&#23798;&#31532;&#19968;&#21407;&#30330;&#12289;&#22320;&#38754;&#12364;&#12402;&#12403;&#21106;&#12428;&#12289;&#25918;&#23556;&#33021;&#29289;&#36074;&#12434;&#21547;&#12416;&#33976;&#27671;&#12364;&#19978;&#12364;&#12387;&#12390;&#12356;&#12427;&#12290;&#65288;Russia today &#65289; RT Ground is cracking underneath Fukushima nuclear : {link} #fukushima,2,"['Ground', 'cracking', 'underneath', 'Fukushima', 'nuclear', 'fukushima']"
41,"@mention &gt;Good decision and further evidence that, like #nuclear power, #SmartGrid can't survive without a #CorporateEntitlement",2,"['Good', 'decision', 'evidence', 'like', 'nuclear', 'power', 'SmartGrid', 'cant', 'survive', 'without', 'CorporateEntitlement']"
42,RT @mention #InHarperstopsyturvyCanada Nuclear power is considered safe and affordable.....Green power is not #cdnpoli,1,"['InHarperstopsyturvyCanada', 'Nuclear', 'power', 'considered', 'safe', 'affordableGreen', 'power', 'cdnpoli']"
43,RT @mention #Marxism #Socialism Nuclear power plant workers defeat attack on pensions: After an 18-day strike... {link} #p2 #rebelleft,2,"['Marxism', 'Socialism', 'Nuclear', 'power', 'plant', 'workers', 'defeat', 'attack', 'pensions', 'day', 'strike', 'p', 'rebelleft']"
44,"RT @mention #News #Energy Nuclear power generation to touch 20,000 MW in 20 years {link}",2,"['News', 'Energy', 'Nuclear', 'power', 'generation', 'touch', 'MW', 'years']"
45,"RT @mention #News #IndustryNews Nuclear power generation to touch 20,000 MW in 20 years {link}",2,"['News', 'IndustryNews', 'Nuclear', 'power', 'generation', 'touch', 'MW', 'years']"
46,RT @mention #nuclear Turkey moves forward with nuclear energy plans - Marketplace.publicradio.org {link},2,"['nuclear', 'Turkey', 'moves', 'forward', 'nuclear', 'energy', 'plans', 'Marketplacepublicradioorg']"
47,RT @mention #SMR are possibly important #nuclear #technology •_É•_Êit's important not to impede their #development - {link} #nuclear #energy,2,"['SMR', 'possibly', 'important', 'nuclear', 'technology', '•É•Êits', 'important', 'impede', 'development', 'nuclear', 'energy']"
48,RT @mention #TEPCO to desalinate used fuel pools at #Fukushima Daiichi #nuclear energy facility - {link},2,"['TEPCO', 'desalinate', 'used', 'fuel', 'pools', 'Fukushima', 'Daiichi', 'nuclear', 'energy', 'facility']"
49,RT @mention #Utah moving closer to getting its first #nuclear power plant {link},2,"['Utah', 'moving', 'closer', 'getting', 'first', 'nuclear', 'power', 'plant']"
50,RT @mention #Vermont #Yankee #Nuclear #Power #Plant #Vermont Groups team up to fight nuclear relicensing {link},2,"['Vermont', 'Yankee', 'Nuclear', 'Power', 'Plant', 'Vermont', 'Groups', 'team', 'fight', 'nuclear', 'relicensing']"
51,RT @mention 15 years of French #nuclear #energy use has created so much waste that a *whole room* needs to be dedicated to storage {link},0,"['years', 'French', 'nuclear', 'energy', 'use', 'created', 'much', 'waste', 'whole', 'room', 'needs', 'dedicated', 'storage']"
52,"@mention 4:30 PM ET, watch the Nuclear Energy Town Hall Meeting from August 2 on the Florida Channel &amp; WEB1 at TheFloridaChannel.org.",2,"['PM', 'ET', 'watch', 'Nuclear', 'Energy', 'Town', 'Hall', 'Meeting', 'August', 'Florida', 'Channel', 'WEB', 'TheFloridaChannelorg']"
53,RT @mention 5 Largest #Solar Installations in the World - promising alternatives to #nuclear power plants {link},2,"['Largest', 'Solar', 'Installations', 'World', 'promising', 'alternatives', 'nuclear', 'power', 'plants']"
54,RT @mention 66th Carnival of Nuclear Energy Bloggers online now at ANS #Nuclear Cafe {link},2,"['th', 'Carnival', 'Nuclear', 'Energy', 'Bloggers', 'online', 'ANS', 'Nuclear', 'Cafe']"
55,RT @mention 66th Carnival of Nuclear Energy Bloggers online now at ANS Nuclear Cafe {link},2,"['th', 'Carnival', 'Nuclear', 'Energy', 'Bloggers', 'online', 'ANS', 'Nuclear', 'Cafe']"
56,"@mention a few years ago, you told me of self sufficient nuclear power 1x1m cubes that cld power a town for 15 years. What were they called?",2,"['years', 'ago', 'told', 'self', 'sufficient', 'nuclear', 'power', 'xm', 'cubes', 'cld', 'power', 'town', 'years', 'called']"
57,RT @mention A photographer made exclusive pictures inside the #Fukushima #nuclear power plant: {link},2,"['photographer', 'made', 'exclusive', 'pictures', 'inside', 'Fukushima', 'nuclear', 'power', 'plant']"
58,RT @mention A planet powered by thorium? Thorium reactors could rescue nuclear power {link},2,"['planet', 'powered', 'thorium', 'Thorium', 'reactors', 'could', 'rescue', 'nuclear', 'power']"
59,RT @mention Abbasi says Russia has proposed cooperating with Iran on building new nuclear power plants in the country {link} via @mention,2,"['Abbasi', 'says', 'Russia', 'proposed', 'cooperating', 'Iran', 'building', 'new', 'nuclear', 'power', 'plants', 'country', 'via']"
60,RT @mention Activists' Guide to Fighting Nuclear Power. Public Citizen Climate and Energy: {link} via @mention,2,"['Activists', 'Guide', 'Fighting', 'Nuclear', 'Power', 'Public', 'Citizen', 'Climate', 'Energy', 'via']"
61,"RT @mention Again! TransCanada Tar Sands expose, how 7 pipelines and nuclear power fit into the overall strategy. {link}",2,"['TransCanada', 'Tar', 'Sands', 'expose', 'pipelines', 'nuclear', 'power', 'fit', 'overall', 'strategy']"
62,RT @mention Alabama Nuclear Power Plant Gets Go-Ahead for Construction ---- {link} ----- Please RT; it's enough already!,2,"['Alabama', 'Nuclear', 'Power', 'Plant', 'Gets', 'GoAhead', 'Construction', 'Please', 'enough', 'already']"
63,RT @mention An interview with @mention Nuclear Power •_Ð How safe is it and what have we learned from Japan? | {link},2,"['interview', 'Nuclear', 'Power', '•Ð', 'safe', 'learned', 'Japan']"
64,RT @mention ANS Nuclear Cafe: Saudi Arabia boosts its nuclear energy ambitions {link},2,"['ANS', 'Nuclear', 'Cafe', 'Saudi', 'Arabia', 'boosts', 'nuclear', 'energy', 'ambitions']"
65,RT @mention Anti nuclear power T-shirt {link} #nonukes,0,"['Anti', 'nuclear', 'power', 'Tshirt', 'nonukes']"
66,RT @mention anybody want to buy a floating nuclear power plant? cheap? {link} via @mention,2,"['anybody', 'want', 'buy', 'floating', 'nuclear', 'power', 'plant', 'cheap', 'via']"
67,@mention Are you guys going to be phasing out nuclear energy then?,2,"['guys', 'going', 'phasing', 'nuclear', 'energy']"
68,"RT @mention As China pushes forward on nuclear energy, the U.S. is held back by red tape and irrational fear {link}",2,"['China', 'pushes', 'forward', 'nuclear', 'energy', 'US', 'held', 'back', 'red', 'tape', 'irrational', 'fear']"
69,"RT @mention Best part about the new Alabama nuclear power plant? If there is a meltdown, the wind will carry all the radiation to Knoxville.",2,"['Best', 'part', 'new', 'Alabama', 'nuclear', 'power', 'plant', 'meltdown', 'wind', 'carry', 'radiation', 'Knoxville']"
70,RT @mention Blue Castle Nuclear Project Closer to Filing Licensing Application {link} #nuclear #energy #electricity #utilities,2,"['Blue', 'Castle', 'Nuclear', 'Project', 'Closer', 'Filing', 'Licensing', 'Application', 'nuclear', 'energy', 'electricity', 'utilities']"
71,@mention BREAKING: Hokkaido governor formally approves restart of commercial operations of No.3 reactor at Tomari nuclear power plant,2,"['BREAKING', 'Hokkaido', 'governor', 'formally', 'approves', 'restart', 'commercial', 'operations', 'reactor', 'Tomari', 'nuclear', 'power', 'plant']"
72,RT @mention Can Tokyo function without nuclear power? asks @mention {link},2,"['Tokyo', 'function', 'without', 'nuclear', 'power', 'asks']"
73,RT @mention Canada may become the first nation in the world to use nuclear energy to ACCELERATE fossil fuel production. #cfsfcee,2,"['Canada', 'may', 'become', 'first', 'nation', 'world', 'use', 'nuclear', 'energy', 'ACCELERATE', 'fossil', 'fuel', 'production', 'cfsfcee']"
74,RT @mention China Takes Lead in Race for Clean Nuclear Power #thorium {link},2,"['China', 'Takes', 'Lead', 'Race', 'Clean', 'Nuclear', 'Power', 'thorium']"
75,"@mention Climate change is real, and nuclear power is safe; that these FACTS are denied by alternate groups is ULTIMATE FRUSTRATION.",1,"['Climate', 'change', 'real', 'nuclear', 'power', 'safe', 'FACTS', 'denied', 'alternate', 'groups', 'ULTIMATE', 'FRUSTRATION']"
76,RT @mention Coal seen as possible alternative to nuclear power: EGAT {link},2,"['Coal', 'seen', 'possible', 'alternative', 'nuclear', 'power', 'EGAT']"
77,"@mention Couple nuclear power and near-100% efficient electric motors, and you have a near-wasteless process with no carbon emission.",2,"['Couple', 'nuclear', 'power', 'near', 'efficient', 'electric', 'motors', 'nearwasteless', 'process', 'carbon', 'emission']"
78,@mention Cucumbers and nuclear power.,2,"['Cucumbers', 'nuclear', 'power']"
79,RT @mention Debate: Does the world need nuclear energy? {link},2,"['Debate', 'world', 'need', 'nuclear', 'energy']"
80,RT @mention Devastating March 11 #earthquake leaves Japan pondering its fuel mix. See Platts The Barrel blog at {link} #nuclear #energy,2,"['Devastating', 'March', 'earthquake', 'leaves', 'Japan', 'pondering', 'fuel', 'mix', 'See', 'Platts', 'Barrel', 'blog', 'nuclear', 'energy']"
81,@mention Did they mention why Ancient Aliens came all the way to earth to mine gold or only used nuclear power? Gold only exists on Earth.,2,"['mention', 'Ancient', 'Aliens', 'came', 'way', 'earth', 'mine', 'gold', 'used', 'nuclear', 'power', 'Gold', 'exists', 'Earth']"
82,RT @mention Discussion: Is #Nuclear #Energy Safer Than Previously Thought? {link},2,"['Discussion', 'Nuclear', 'Energy', 'Safer', 'Previously', 'Thought']"
83,RT @mention Do you know the facts about US #nuclear energy production? Get them in our updated &quot;cheat sheet&quot; of quick facts - {link},2,"['know', 'facts', 'US', 'nuclear', 'energy', 'production', 'Get', 'updated', 'quick', 'facts']"
84,RT @mention Does anyone have an informed update on the clean-up progress at #Fukushima Nuclear Power Plant? It seems to have disappeared from the news.,2,"['anyone', 'informed', 'update', 'cleanup', 'progress', 'Fukushima', 'Nuclear', 'Power', 'Plant', 'seems', 'disappeared', 'news']"
85,RT @mention Don't Count Out Nuclear Energy Just Yet: The summer meeting of the American Nuclear Society could have been a wa... {link},2,"['Dont', 'Count', 'Nuclear', 'Energy', 'Yet', 'summer', 'meeting', 'American', 'Nuclear', 'Society', 'could', 'wa']"
86,RT @mention Exelon CEO tell ANS nation must dispense with #Fukushima fears because it needs #nuclear energy {link},2,"['Exelon', 'CEO', 'tell', 'ANS', 'nation', 'must', 'dispense', 'Fukushima', 'fears', 'needs', 'nuclear', 'energy']"
87,RT @mention Expert commentary on the safety of #nuclear #energy {link},2,"['Expert', 'commentary', 'safety', 'nuclear', 'energy']"
88,@mention Fission not a theory. It's how all nuclear power plants less than 93 million miles from Earth work.,2,"['Fission', 'theory', 'nuclear', 'power', 'plants', 'less', 'million', 'miles', 'Earth', 'work']"
89,RT @mention Floating Nuclear Power Plant Seized By Court: bit.ly/qYRdXw via @mention,2,"['Floating', 'Nuclear', 'Power', 'Plant', 'Seized', 'Court', 'bitlyqYRdXw', 'via']"
90,"RT @mention Florida senator challenges utilities on nuclear power cost recovery, again. {link} #sayfie @mention @mention",2,"['Florida', 'senator', 'challenges', 'utilities', 'nuclear', 'power', 'cost', 'recovery', 'sayfie']"
91,RT @mention Florida should persevere on nuclear power plants: Great op ed article from the editors of the D... {link} #nuclear #energy,2,"['Florida', 'persevere', 'nuclear', 'power', 'plants', 'Great', 'op', 'ed', 'article', 'editors', 'nuclear', 'energy']"
92,RT @mention For those seeking info &gt; soundbites. RT @mention We've updated the NEI Myths &amp; Facts about nuclear energy: {link},2,"['seeking', 'info', 'Facts', 'nuclear', 'energy']"
93,"RT @mention From WSMV: TVA nuke construction, rates on board agenda: Nuclear power plant safety and fossil fuel emissions ar... {link}",2,"['WSMV', 'TVA', 'nuke', 'construction', 'rates', 'board', 'agenda', 'Nuclear', 'power', 'plant', 'safety', 'fossil', 'fuel', 'emissions', 'ar']"
94,RT @mention Fukushima Dai-ichi nuclear power plant may not achieve cold shutdown as soon as planned: Tokyo (cont) {link},2,"['Fukushima', 'Daiichi', 'nuclear', 'power', 'plant', 'may', 'achieve', 'cold', 'shutdown', 'soon', 'planned', 'Tokyo', 'cont']"
95,"@mention GE laser breakthrough could also lead to lower cost nuclear energy, and reduced fossil fuel sales. Motive for opposition?",2,"['GE', 'laser', 'breakthrough', 'could', 'also', 'lead', 'lower', 'cost', 'nuclear', 'energy', 'reduced', 'fossil', 'fuel', 'sales', 'Motive', 'opposition']"
96,"RT @mention Germany plans to move away from nuclear power, which constitutes 22% of country•_Õs energy source, in 11 years. via @mention",2,"['Germany', 'plans', 'move', 'away', 'nuclear', 'power', 'constitutes', 'country•Õs', 'energy', 'source', 'years', 'via']"
97,@mention got hacked by anonymous. anonymous also hacked the FBI and a russian nuclear power plant..,2,"['got', 'hacked', 'anonymous', 'anonymous', 'also', 'hacked', 'FBI', 'russian', 'nuclear', 'power', 'plant']"
98,RT @mention Govt Expanding Civil Nuclear Energy Programme: PM {link},2,"['Govt', 'Expanding', 'Civil', 'Nuclear', 'Energy', 'Programme', 'PM']"
99,@mention Happy to spread the word about a fine nuclear power plant!,1,"['Happy', 'spread', 'word', 'fine', 'nuclear', 'power', 'plant']"
100,"@mention has &quot;open mind on #nuclear energy,&quot; he tells FresBee edit board. Cites climate change as major reason 4 stance #559vote",2,"['tells', 'FresBee', 'edit', 'board', 'Cites', 'climate', 'change', 'major', 'reason', 'stance', 'vote']"
101,"@mention has &quot;open mind&quot; on nuclear energy, but is concerned about nuclear waste and need for water to run the plant. #cagov #nuclear",2,"['nuclear', 'energy', 'concerned', 'nuclear', 'waste', 'need', 'water', 'run', 'plant', 'cagov', 'nuclear']"
102,@mention Has to follow his own advices and recognize mistakes about nuclear energy: {link} and {link},2,"['follow', 'advices', 'recognize', 'mistakes', 'nuclear', 'energy']"
103,RT @mention HILLSBOROUGH: Students Attend Nuclear Energy Forum: Hillsborough teens were among 200 New Jersey high school stu... {link},2,"['HILLSBOROUGH', 'Students', 'Attend', 'Nuclear', 'Energy', 'Forum', 'Hillsborough', 'teens', 'among', 'New', 'Jersey', 'high', 'school', 'stu']"
104,@mention hmmm read about his views on environmental and nuclear energy policies.,2,"['hmmm', 'read', 'views', 'environmental', 'nuclear', 'energy', 'policies']"
105,RT @mention How our kids are being schooled by the nuclear industry {link} via @mention,2,"['kids', 'schooled', 'nuclear', 'industry', 'via']"
106,"RT @mention I am tweeting, &quot;Stop the nuclear power plant&quot;. Please give &quot;Re-Tweet&quot; to my tweet. #no_nukes #genpatsu #&#21407;&#30330;&#12392;&#12417;&#12429;#s_t_r",0,"['tweeting', 'str']"
107,@mention I want to stop the nuclear power plant all over the world now.So I shout it everyday;)So Thanks for your RT and heart.,0,"['want', 'stop', 'nuclear', 'power', 'plant', 'world', 'nowSo', 'shout', 'everydaySo', 'Thanks', 'heart']"
108,@mention I'd go to the MLP universe and introduce nuclear energy and warfare strategies to the ponies. #fuckthepolice,2,"['Id', 'go', 'MLP', 'universe', 'introduce', 'nuclear', 'energy', 'warfare', 'strategies', 'ponies', 'fuckthepolice']"
109,"RT @mention I'm also confused how Japan's nuclear energy is not a threat, while Iran's is. How does physics not work the same all over the world?",2,"['Im', 'also', 'confused', 'Japans', 'nuclear', 'energy', 'threat', 'Irans', 'physics', 'work', 'world']"
110,@mention I'm assuming nuclear power is a growing industry right now?,2,"['Im', 'assuming', 'nuclear', 'power', 'growing', 'industry', 'right']"
111,@mention i'm skeptical that he knows shit about nuclear energy apart from &quot;the public are scared shitless of it&quot;,2,"['im', 'skeptical', 'knows', 'shit', 'nuclear', 'energy', 'apart']"
112,RT @mention Idaho Samizdat: Nuke Notes: 66th Carnival of Nuclear Energy Bloggers {link},2,"['Idaho', 'Samizdat', 'Nuke', 'Notes', 'th', 'Carnival', 'Nuclear', 'Energy', 'Bloggers']"
113,"@mention If McGuinty has his way natural gas will be redundant and expensive wind, solar and dangerous nuclear energy will replace it.",2,"['McGuinty', 'way', 'natural', 'gas', 'redundant', 'expensive', 'wind', 'solar', 'dangerous', 'nuclear', 'energy', 'replace']"
114,RT @mention if we work #TOGETHER we can phase-out nuclear power and replace it with clean energy ... :),0,"['work', 'TOGETHER', 'phaseout', 'nuclear', 'power', 'replace', 'clean', 'energy']"
115,RT @mention In #national #science and #politics news: PM says Nuclear energy vital for growth!,1,"['national', 'science', 'politics', 'news', 'PM', 'says', 'Nuclear', 'energy', 'vital', 'growth']"
116,"RT @mention In Japan the 6th graders take field trips to nuclear power plants? Gees, makes my field trips to the movie theater look really boring",2,"['Japan', 'th', 'graders', 'take', 'field', 'trips', 'nuclear', 'power', 'plants', 'Gees', 'makes', 'field', 'trips', 'movie', 'theater', 'look', 'really', 'boring']"
117,"RT @mention India - Nuclear power generation to touch 20,000 MW: The country's nuclear power generation i... {link}",2,"['India', 'Nuclear', 'power', 'generation', 'touch', 'MW', 'countrys', 'nuclear', 'power', 'generation']"
118,RT @mention India to accord highest safety standards for civil nuclear energy: PM {link},2,"['India', 'accord', 'highest', 'safety', 'standards', 'civil', 'nuclear', 'energy', 'PM']"
119,RT @mention Internet. Weather Forecasting. GPS. Commercial Aviation. Freight. Nuclear Energy. What do these things have in common?,2,"['Internet', 'Weather', 'Forecasting', 'GPS', 'Commercial', 'Aviation', 'Freight', 'Nuclear', 'Energy', 'things', 'common']"
120,"RT @mention Iran's Top Diplomat To Discuss Nuclear Energy Issues In Moscow: Ali Akbar Salehi, the foreign minister of Iran, ... {link}",2,"['Irans', 'Top', 'Diplomat', 'Discuss', 'Nuclear', 'Energy', 'Issues', 'Moscow', 'Ali', 'Akbar', 'Salehi', 'foreign', 'minister', 'Iran']"
121,"RT @mention Is #SaudiArabia making a transition from #oil to #nuclear ? {link} &gt; when SA is bearish on oil, we should all notice",2,"['SaudiArabia', 'making', 'transition', 'oil', 'nuclear', 'SA', 'bearish', 'oil', 'notice']"
122,RT @mention Issues: Nuclear Energy &amp; Waste: Fact Sheet {link} &lt;-Reprocessing nuclear waste creates more nuclear waste,2,"['Issues', 'Nuclear', 'Energy', 'Reprocessing', 'nuclear', 'waste', 'creates', 'nuclear', 'waste']"
123,@mention it seemed like politically speaking the US was on it's way to jumping more into nuclear power but then the Japan incident happened,2,"['seemed', 'like', 'politically', 'speaking', 'US', 'way', 'jumping', 'nuclear', 'power', 'Japan', 'incident', 'happened']"
124,"RT @mention It's sad that as a society, we are scared to use technology like nuclear power for progress•_É (cont) {link}",1,"['sad', 'society', 'scared', 'use', 'technology', 'like', 'nuclear', 'power', 'progress•É', 'cont']"
125,@mention lol it was from the years of working at the nuclear power plant,2,"['lol', 'years', 'working', 'nuclear', 'power', 'plant']"
126,RT @mention Mark Hibbs on Saudi Arabia•_Õs nuclear energy ambitions {link},2,"['Mark', 'Hibbs', 'Saudi', 'Arabia•Õs', 'nuclear', 'energy', 'ambitions']"
127,RT @mention More good news...Russia proposes to construct nuclear plants in Iran {link},1,"['good', 'newsRussia', 'proposes', 'construct', 'nuclear', 'plants', 'Iran']"
128,"RT @mention More Nuclear Power, Please. {link}",1,"['Nuclear', 'Power', 'Please']"
129,RT @mention More potential energy than a nuclear power plant:Cannabis=safer More healing properties than alcohol:Cannabis=safer themarijuanateaparty.org,2,"['potential', 'energy', 'nuclear', 'power', 'plantCannabissafer', 'healing', 'properties', 'alcoholCannabissafer', 'themarijuanateapartyorg']"
130,"@mention Mr.Vat-&quot;Oh Mr.Burns, so insightful. Not just sitting in your office at the nuclear power plant trying to tear down schools.&quot;",2,['MrVat']
131,"@mention My &quot;agenda&quot; is spreading Calm, Certainty, and Reassurance (aka truth) about #nuclear energy in response to FUD. Yours?",1,"['spreading', 'Calm', 'Certainty', 'Reassurance', 'aka', 'truth', 'nuclear', 'energy', 'response', 'FUD']"
