,tweet_text,sentiment
117,"  India - Nuclear power generation to touch 20,000 MW: The country's nuclear power generation i... ",2
118,  India to accord highest safety standards for civil nuclear energy: PM ,2
119,  Internet. Weather Forecasting. GPS. Commercial Aviation. Freight. Nuclear Energy. What do these things have in common?,2
120,"  Iran's Top Diplomat To Discuss Nuclear Energy Issues In Moscow: Ali Akbar Salehi, the foreign minister of Iran, ... ",2
121,"  Is #SaudiArabia making a transition from #oil to #nuclear ?   when SA is bearish on oil, we should all notice",2
122,  Issues: Nuclear Energy -Reprocessing nuclear waste creates more nuclear waste,2
123, it seemed like politically speaking the US was on it's way to jumping more into nuclear power but then the Japan incident happened,2
124,"  It's sad that as a society, we are scared to use technology like nuclear power for progress•_É (cont) ",1
125, lol it was from the years of working at the nuclear power plant,2
126,  Mark Hibbs on Saudi Arabia•_Õs nuclear energy ambitions ,2
127,  More good news...Russia proposes to construct nuclear plants in Iran ,1
128,"  More Nuclear Power, Please. ",1
129,  More potential energy than a nuclear power plant:Cannabis=safer More healing properties than alcohol:Cannabis=safer themarijuanateaparty.org,2
130, Mr.Vat-,2
131," My  is spreading Calm, Certainty, and Reassurance (aka truth) about #nuclear energy in response to FUD. Yours?",1
132," my line at work, when it's crazy.. I'm going to get a nice quiet job at the nuclear power plant..",2
133, Nah man. It is the same thing with nuclear power supporters and NIMBYism. They support it so long as it doesn't relate to them.,2
134,  Nation hit by A-bombs placed big bet on nuclear power ,2
135,  New nuclear power plants are just too expensive to build. See what Exelon's CEO says: ,0
136,"  NGOs, Academics Call For Abolition Of Nuclear Plants: Antinuclear nongovernmental organizations and academics ca... ",2
137,  no-nukes-logo  via ,2
138,  Not only Japan but also the nuclear power plant all over the world has a lot of problems.Please save children and ,0
139,  Now: No earthquake or tsunami damage reported at any nuclear power plants in Japan.,2
140,  Nuclear blog digest.   65th Carnival of Nuclear Energy Bloggers is Up  #nuclear,2
141,"  Nuclear energy declines while greener energy emerges. If you're in Arizona, we're talkin' to you! ",2
142,  Nuclear energy is a hell of a way to boil water,2
143,"  Nuclear energy is a very expensive and dangerous way to boil water. What's more, when it screws up the earth is uninhabitable for humans.",0
144,"  Nuclear energy, capitalism and communism | International ... ",2
145,"  Nuclear Energy. Clean for now, death to the planet and all of our future generations. Nice work!",0
146,"  Nuclear Power after Fukushima: It is, still, the energy of the future (Reprint of article fm Jun 20 National Review) ",2
147, nuclear power is in the best interest of the future of Saskatchewan...we are a world leader in #uranium #backwards #hypocrite,2
148,  Nuclear power plant #construction spending approved at Vogtle site in GA  From ,2
149," Nuclear power, zealous protectionism, arms (ironically!), horses, frogs, snails, sparrows, otters, voles, topless birds...",2
150,"  NY Times: German Chancellor Merkel white washes her abrupt, politically expedient U-turn on #nuclear energy. ",2
151, or New Green Energy: Nuclear Energy for the 21st Century,2
152,  Progress report on #Fukushima Daiichi  #nuclear #energy,2
153,"  Protect Yourself From Nuclear Power Plant Radiation, Plan an evacuation route, Know the Safe zones ",2
154,  Public Support for Nuclear Energy Remains Strong ,2
155,"  Quote of the Day: In Florida, we cannot afford the consequences of not including nuclear power ...  #nuclear #energy",1
156,  Radioactive Leak at Fort Calhoun Nuclear Power Station | Nuclear ...: Radioactive Leak at Fort Calhoun Nuclear P... ,2
157,  Random #garmentcare fact: did you know that HEPA filters were designed for nuclear power plants?,2
158,  Reading: #China•_Õs #Nuclear Power Plans Unfazed by Fukushima #Disaster  ,2
159,  Remember there were two or three American Nuclear power plants under water or leaking? Where is the news coverage? #blackout #corruptmedia,2
160," report, 'Laser Advances in Nuclear Fuel Stir Terror Fear, proves we can't divorce nuclear energy from nonproliferation discussions",2
161,  Reporting from the grounds of Fukushima Daiichi Nuclear Power Station ,2
162," rolling back regulations? Is that because we should trust wallstreet the oil ,nuclear energy corps to do the right thing?",2
163,    66th Carnival of Nuclear Energy Bloggers online now at ANS #Nuclear Cafe ,2
164,    Progress report on #Fukushima Daiichi  #nuclear #energy,2
165,  •_Ò Report: Ground Under Fukushima Plant Cracking ,0
166,  Russia in talks to build MORE nuclear power plants in Iran... Magog and Persia doing what comes naturally...,2
167,  Russia proposed cooperating w IR on building new nuclear power plants; Iran's nuclear chief says; PressTV ,2
168,  Saudi Arabia boosts its nuclear energy ambitions  #nuclear  This disturbs me. Women can't drive there.,0
169,  Saudi Arabia•_Õs Nuclear Energy Ambitions: Filed under: Energy News ,2
170,"  Science Saturday: Nuclear energy, melting ice caps, and human adaptation ",2
171,"  Science Saturday: Nuclear Energy, Melting Ice Caps, And Human Adaptation: I was on Bloggingheads.tv Science Satu... ",2
172,  Should nuclear power be feared? Or more understood?  #Fukushima #energy #Germany #Japan #orcot,2
173,  Slovenia's nuclear power plant in Krsko -  News ,2
174,"  Smart, important post.   Studying radioactive sulfur from Fukushima isn't about nuclear power. It's about coal. bit.ly/r2KcaI",2
175, Sounds good. And agreed on the boats. Larger keepout zone this time due to nuclear power source.,2
176,  SPOTLIGHT: U.S. Nuclear Safety is as Nuclear Safety Does: Multiple strengthening grids integral...  #nuclear #energy,2
177, still more people than have ever died due to nuclear power in the US,0
178,"  Stop talking,start building nuclear power plants,oil drilling,get a patriot in charge,this verbal muslim/lib diarrhea has gone far enough!",2
179,  Studying radioactive sulfur from Fukushima isn't about nuclear power. It's about coal. ,2
180," Tainted food, bribery, issues with nuclear power...it's like you saw Japan's future Will there be a quake in a future book too?",2
181, That would be nice. ,0
182,  The 65th Carnival of Pro Nuclear blogs (and podcasts) is up at NEI Nuclear Notes. Find out what the nukes are saying ,2
183,"  The cement engulfed his organs, muscles and skin, everything except his heart, a heart forged with nuclear power. He became a man of stone.",2
184, The drinking bird was predisposed venting gas at the Springfield Nuclear Power Plant.,2
185,  The First Nuclear Reactor Since The Fukushima's Accident Is Reactivated.: The reactivation is featuring for firs... ,2
186,  The government plans to rent all land owned by residents in parts of no-entry zone of Fukushima nuclear power plant. ,2
187,  The Hindu : News / National : Nuclear energy will play important role: Manmohan: ,2
188,  THE NUCLEAR ENERGY OPTION. The famous book of Prof. L.B. Cohen is free ,2
189,  The US #nuclear industry is taking 7 steps to reconfirm safety  emergency preparedness at nuclear plants. Learn more: ,2
